"OU";"Name";"Surname";"initials";"givenName";"DisplayName";"SamAccountName";"description";"MemberOf";"Gender";"Species";"physicalDeliveryOfficeName";"OfficePhone";"EmailAddress";"HomePage";"streetAddress";"POBox";"City";"State";"postalCode";"Country";"ChangePasswordAtLogon";"scriptpath";"Homedrive";"homePhone";"pager";"MobilePhone";"info";"title";"department";"departmentNumber";"Organization";"Company";"employeeID";"employeeNumber";"employeeType";"Exchange Alias";"Exchange Mailbox Store";"Instant Messaging Home Server ";"Instant Messaging URL ";"Enabled"
"BAAD";"bidark";"DARKLIGHTER";"";"Biggs";"DARKLIGHTER, Biggs";"bidark";"Battleship Master Pilot";"A New Hope";"Male";"Human";"";"+52 (834)  580-5859";"biggs.darklighter@EguibarIT.com";"http://www.eguibarit.com";"";"50781";"Tatooine";"Jalisco";"CB25-1907";"MX";"0";"";"U:";"";"";"+52 (82)  14-7211";"Default password is ""P@ssword 123456"" without quotes";"Pilot";"Battleship Master Pilot";"";"";"";"588695";"751452";"Permanent";"";"";"";"";"1"
"BAAD";"codook";"DOOKU";"";"Count";"DOOKU, Count";"codook";"Dark Lord of the Sith";"Attack of the Clones, Revenge of the Sith";"Male";"Human";"";"+33 (206)  859-4034";"count.dooku@EguibarIT.com";"http://www.eguibarit.com";"";"62961";"Serenno";"Tolouse";"UT77-8759";"FR";"0";"";"U:";"";"";"+33 (581)  981-4149";"Default password is ""P@ssword 123456"" without quotes";"Lord";"";"";"";"";"423751";"889363";"Permanent";"";"";"";"";"1"
"BAAD";"nuguna";"GUNARY";"";"Nute";"GUNARY, Nute";"nuguna";"Trade Federation Viceroy";"Attack of the Clones, The Phantom Menace, Revenge of the Sith";"Male";"Neimodian";"";"+34 (223)  747-6916";"nute.gunary@EguibarIT.com";"http://www.eguibarit.com";"";"84609";"Cato Neimoidia";"Madrid";"WQ28-4086";"ES";"0";"";"U:";"";"";"+34 (61)  396-5260";"Default password is ""P@ssword 123456"" without quotes";"Viceroy";"Goverment";"";"";"Intergalactic Trade Federation";"109596";"752221";"Permanent";"";"";"";"";"1"
"BAAD";"grgene";"GENERAL";"";"Grievous";"GENERAL, Grievous";"grgene";"Supreme Commander of the Confederacy of Independent Systems";"Revenge of the Sith";"Male";"Kaleesh";"";"+27 (769)  20-2309";"grievous.general@EguibarIT.com";"http://www.eguibarit.com";"";"56841";"Kalee";"Gauteng";"FD42-6417";"SA";"0";"";"U:";"";"";"+27 (561)  603-3909";"Default password is ""P@ssword 123456"" without quotes";"Commander";"";"";"";"";"340379";"761735";"Permanent";"";"";"";"";"1"
"BAAD";"caneed";"NEEDA";"";"Captain";"NEEDA, Captain";"caneed";"Captain Needa commanded the Avenger, one of the Imperial Star Destroyers that fought for the Empire at the Battle of Hoth. His ship pursued the fleeing Millennium Falcon, but the freighter escaped under mysterious circumstances. Baffled but contrite, Needa decided it was his duty to apologize to Darth Vader for losing the ship.";"The empire strikes back";"Male";"Human";"";"";"Captain.NEEDA@EguibarIT.com";"http://www.eguibarit.com";"";"34128";"";"Valencia";"YY91-4129";"ES";"0";"";"U:";"";"";"";"Default password is ""P@ssword 123456"" without quotes";"Captain";"";"";"";"Galactic Empire";"5674383";"6120266";"Contractor";"";"";"";"";"1"
"BAAD";"dasidi";"SIDIOUS | PALPATINE";"";"Darth";"SIDIOUS | PALPATINE, Darth";"dasidi";"Emperor of the Galactic Empire";"The Empire Strikes Back, Attack of the Clones, The Phantom Menace, Revenge of the Sith, Return of the Jedi";"Male";"Human";"";"+39 (389)  358-5721";"darth.sidious | palpatine@EguibarIT.com";"http://www.eguibarit.com";"";"70741";"Naboo";"Calabria";"WK76-3942";"IT";"0";"";"U:";"";"";"+39 (35)  635-1026";"Default password is ""P@ssword 123456"" without quotes";"Emperor";"Goverment";"";"";"Galactic Empire";"42586";"141123";"Permanent";"";"";"";"";"1"
"BAAD";"davade";"VADER";"";"Darth";"VADER, Darth";"davade";"Supreme Commander";"The Empire Strikes Back, Revenge of the Sith, Return of the Jedi, A New Hope";"Male";"Human";"";"+27 (240)  998-8777";"darth.vader@EguibarIT.com";"http://www.eguibarit.com";"";"80582";"Death Star";"Western Cape";"YQ73-7424";"SA";"0";"";"U:";"";"";"+27 (891)  11-8668";"Default password is ""P@ssword 123456"" without quotes";"Commander";"";"";"";"";"125412";"954033";"Permanent";"";"";"";"";"1"
"BAAD";"gehux";"HUX";"";"General";"HUX, General";"gehux";"First order General";"The Force Awakenes, The Last Jedi";"Male";"Human";"";"+55 (879)  740-3674";"general.hux@EguibarIT.com";"http://www.eguibarit.com";"";"12689";"Arkanis";"Bahia";"PY92-1054";"BR";"0";"";"U:";"";"";"+55 (279)  52-9048";"Default password is ""P@ssword 123456"" without quotes";"";"";"";"";"";"629492";"76042";"Broker";"";"";"";"";"1"
"BAAD";"impegu1";"Guard1";"";"Imperial Royal";"IMPERIAL ROYAL, Guard1";"impegu1";"Imperial Royal Guard who protects the Emperor";"The Last Jedi";"Male";"Human";"";"+34 (270)  425-2011";"imperial royal.guard1@EguibarIT.com";"http://www.eguibarit.com";"";"95300";"Kamino";"Valencia";"MO27-8224";"ES";"0";"";"U:";"";"";"+34 (999)  822-8533";"Default password is ""P@ssword 123456"" without quotes";"";"";"";"";"";"256055";"739533";"Broker";"";"";"";"";"1"
"BAAD";"impegu2";"Guard2";"";"Imperial Royal";"IMPERIAL ROYAL, Guard2";"impegu2";"Imperial Royal Guard who protects the Emperor";"The Last Jedi";"Male";"Human";"";"+33 (704)  408-6016";"imperial royal.guard2@EguibarIT.com";"http://www.eguibarit.com";"";"75227";"Kamino";"Tolouse";"WW45-7616";"FR";"0";"";"U:";"";"";"+33 (67)  143-3894";"Default password is ""P@ssword 123456"" without quotes";"";"";"";"";"";"583307";"31295";"Broker";"";"";"";"";"1"
